LGDNAME,fatal,serious,slight,total,fatal_percentage,serious_percentage,slight_percentage,serious_to_slight_ratio
Antrim and Newtownabbey,6,52,359,417,1.44,12.47,86.09,0.145
Ards and North Down,7,56,290,353,1.98,15.86,82.15,0.193
"Armagh City, Banbridge and Craigavon",5,108,441,554,0.9,19.49,79.6,0.245
Belfast,5,161,966,1132,0.44,14.22,85.34,0.167
Causeway Coast and Glens,7,74,265,346,2.02,21.39,76.59,0.279
Derry City and Strabane,0,54,303,357,0.0,15.13,84.87,0.178
Fermanagh and Omagh,4,58,221,283,1.41,20.49,78.09,0.262
Lisburn and Castlereagh,2,87,337,426,0.47,20.42,79.11,0.258
Mid Ulster,9,70,287,366,2.46,19.13,78.42,0.244
Mid and East Antrim,2,60,228,290,0.69,20.69,78.62,0.263
"Newry, Mourne and Down",6,114,371,491,1.22,23.22,75.56,0.307
